composition
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0000,INF879O01027=0.5500,INF879O01100=0.4500"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0000,INF879O01027=0.6000,INF879O01100=0.4000"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0000,INF879O01027=0.6500,INF879O01100=0.3500"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0000,INF879O01027=0.7000,INF879O01100=0.3000"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0000,INF879O01027=0.7500,INF879O01100=0.2500"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0000,INF879O01027=0.8000,INF879O01100=0.2000"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0500,INF879O01027=0.1000,INF879O01100=0.8500"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0500,INF879O01027=0.1500,INF879O01100=0.8000"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0500,INF879O01027=0.2000,INF879O01100=0.7500"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0500,INF879O01027=0.2500,INF879O01100=0.7000"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0500,INF879O01027=0.3000,INF879O01100=0.6500"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0500,INF879O01027=0.3500,INF879O01100=0.6000"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0500,INF879O01027=0.4000,INF879O01100=0.5500"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0500,INF879O01027=0.4500,INF879O01100=0.5000"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0500,INF879O01027=0.6000,INF879O01100=0.3500"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0500,INF879O01027=0.7500,INF879O01100=0.2000"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0500,INF879O01027=0.8000,INF879O01100=0.1500"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.1000,INF879O01027=0.6000,INF879O01100=0.3000"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.1500,INF879O01027=0.4000,INF879O01100=0.4500"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.1500,INF879O01027=0.4500,INF879O01100=0.4000"
"INF663L01DV3,INF879O01100,INF966L01614|INF663L01DV3=0.0000,INF879O01100=1.0000,INF966L01614=0.0000"
"INF663L01DV3,INF879O01100,INF966L01689|INF663L01DV3=0.0000,INF879O01100=1.0000,INF966L01689=0.0000"
"INF663L01DV3,INF879O01100,INF966L01887|INF663L01DV3=0.0000,INF879O01100=0.9000,INF966L01887=0.1000"
"INF663L01DV3,INF879O01100,INF966L01887|INF663L01DV3=0.0000,INF879O01100=0.9500,INF966L01887=0.0500"
"INF663L01DV3,INF879O01100,INF966L01887|INF663L01DV3=0.0000,INF879O01100=1.0000,INF966L01887=0.0000"
"INF663L01DV3,INF879O01100,INF966L01911|INF663L01DV3=0.0000,INF879O01100=0.8000,INF966L01911=0.2000"
"INF663L01DV3,INF879O01100,INF966L01911|INF663L01DV3=0.0000,INF879O01100=0.8500,INF966L01911=0.1500"
"INF663L01DV3,INF879O01100,INF966L01911|INF663L01DV3=0.0000,INF879O01100=0.9000,INF966L01911=0.1000"
"INF663L01DV3,INF879O01100,INF966L01911|INF663L01DV3=0.0000,INF879O01100=0.9500,INF966L01911=0.0500"
"INF663L01DV3,INF879O01100,INF966L01911|INF663L01DV3=0.0000,INF879O01100=1.0000,INF966L01911=0.0000"
"INF663L01DV3,INF879O01100,INF966L01911|INF663L01DV3=0.0500,INF879O01100=0.8000,INF966L01911=0.1500"
"INF663L01DV3,INF879O01100,INF966L01911|INF663L01DV3=0.0500,INF879O01100=0.8500,INF966L01911=0.1000"
"INF663L01DV3,INF879O01100,INF966L01986|INF663L01DV3=0.0000,INF879O01100=1.0000,INF966L01986=0.0000"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0000,INF879O01027=0.0500,INF879O01100=0.9500"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0000,INF879O01027=0.1000,INF879O01100=0.9000"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0000,INF879O01027=0.1500,INF879O01100=0.8500"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0000,INF879O01027=0.2000,INF879O01100=0.8000"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0000,INF879O01027=0.2500,INF879O01100=0.7500"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0000,INF879O01027=0.3000,INF879O01100=0.7000"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0000,INF879O01027=0.3500,INF879O01100=0.6500"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0000,INF879O01027=0.4000,INF879O01100=0.6000"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0000,INF879O01027=0.4500,INF879O01100=0.5500"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0000,INF879O01027=0.5000,INF879O01100=0.5000"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0000,INF879O01027=0.5500,INF879O01100=0.4500"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0000,INF879O01027=0.6000,INF879O01100=0.4000"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0000,INF879O01027=0.6500,INF879O01100=0.3500"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0000,INF879O01027=0.7000,INF879O01100=0.3000"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0000,INF879O01027=0.7500,INF879O01100=0.2500"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0000,INF879O01027=0.8000,INF879O01100=0.2000"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0000,INF879O01027=0.9500,INF879O01100=0.0500"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0500,INF879O01027=0.1500,INF879O01100=0.8000"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0500,INF879O01027=0.2000,INF879O01100=0.7500"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0500,INF879O01027=0.2500,INF879O01100=0.7000"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0500,INF879O01027=0.3000,INF879O01100=0.6500"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0500,INF879O01027=0.3500,INF879O01100=0.6000"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0500,INF879O01027=0.4000,INF879O01100=0.5500"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0500,INF879O01027=0.4500,INF879O01100=0.5000"
"INF846K01K35,INF879O01027,INF879O01100|INF846K01K35=0.0500,INF879O01027=0.5000,INF879O01100=0.4500"
