composition
INF174K01LT0|INF174K01LT0=1.0000
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.4000,INF174K01LS2=0.3000,INF879O01100=0.3000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.4000,INF174K01LS2=0.3500,INF879O01100=0.2500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.4000,INF174K01LS2=0.4000,INF879O01100=0.2000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.4000,INF174K01LS2=0.4500,INF879O01100=0.1500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.4000,INF174K01LS2=0.5000,INF879O01100=0.1000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.4000,INF174K01LS2=0.5500,INF879O01100=0.0500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.4000,INF174K01LS2=0.6000,INF879O01100=0.0000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.4500,INF174K01LS2=0.0000,INF879O01100=0.5500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.4500,INF174K01LS2=0.0500,INF879O01100=0.5000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.4500,INF174K01LS2=0.1000,INF879O01100=0.4500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.4500,INF174K01LS2=0.1500,INF879O01100=0.4000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.4500,INF174K01LS2=0.2000,INF879O01100=0.3500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.4500,INF174K01LS2=0.2500,INF879O01100=0.3000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.4500,INF174K01LS2=0.3000,INF879O01100=0.2500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.4500,INF174K01LS2=0.3500,INF879O01100=0.2000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.4500,INF174K01LS2=0.4000,INF879O01100=0.1500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.4500,INF174K01LS2=0.4500,INF879O01100=0.1000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.4500,INF174K01LS2=0.5000,INF879O01100=0.0500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.4500,INF174K01LS2=0.5500,INF879O01100=0.0000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5000,INF174K01LS2=0.0000,INF879O01100=0.5000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5000,INF174K01LS2=0.0500,INF879O01100=0.4500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5000,INF174K01LS2=0.1000,INF879O01100=0.4000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5000,INF174K01LS2=0.1500,INF879O01100=0.3500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5000,INF174K01LS2=0.2000,INF879O01100=0.3000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5000,INF174K01LS2=0.2500,INF879O01100=0.2500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5000,INF174K01LS2=0.3000,INF879O01100=0.2000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5000,INF174K01LS2=0.3500,INF879O01100=0.1500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5000,INF174K01LS2=0.4000,INF879O01100=0.1000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5000,INF174K01LS2=0.4500,INF879O01100=0.0500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5000,INF174K01LS2=0.5000,INF879O01100=0.0000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5500,INF174K01LS2=0.0000,INF879O01100=0.4500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5500,INF174K01LS2=0.0500,INF879O01100=0.4000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5500,INF174K01LS2=0.1000,INF879O01100=0.3500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5500,INF174K01LS2=0.1500,INF879O01100=0.3000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5500,INF174K01LS2=0.2000,INF879O01100=0.2500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5500,INF174K01LS2=0.2500,INF879O01100=0.2000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5500,INF174K01LS2=0.3000,INF879O01100=0.1500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5500,INF174K01LS2=0.3500,INF879O01100=0.1000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5500,INF174K01LS2=0.4000,INF879O01100=0.0500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.5500,INF174K01LS2=0.4500,INF879O01100=0.0000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.6000,INF174K01LS2=0.0000,INF879O01100=0.4000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.6000,INF174K01LS2=0.0500,INF879O01100=0.3500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.6000,INF174K01LS2=0.1000,INF879O01100=0.3000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.6000,INF174K01LS2=0.1500,INF879O01100=0.2500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.6000,INF174K01LS2=0.2000,INF879O01100=0.2000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.6000,INF174K01LS2=0.2500,INF879O01100=0.1500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.6000,INF174K01LS2=0.3000,INF879O01100=0.1000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.6000,INF174K01LS2=0.3500,INF879O01100=0.0500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.6000,INF174K01LS2=0.4000,INF879O01100=0.0000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.6500,INF174K01LS2=0.0000,INF879O01100=0.3500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.6500,INF174K01LS2=0.0500,INF879O01100=0.3000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.6500,INF174K01LS2=0.1000,INF879O01100=0.2500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.6500,INF174K01LS2=0.1500,INF879O01100=0.2000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.6500,INF174K01LS2=0.2000,INF879O01100=0.1500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.6500,INF174K01LS2=0.2500,INF879O01100=0.1000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.6500,INF174K01LS2=0.3000,INF879O01100=0.0500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.6500,INF174K01LS2=0.3500,INF879O01100=0.0000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.7000,INF174K01LS2=0.0000,INF879O01100=0.3000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.7000,INF174K01LS2=0.0500,INF879O01100=0.2500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.7000,INF174K01LS2=0.1000,INF879O01100=0.2000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.7000,INF174K01LS2=0.1500,INF879O01100=0.1500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.7000,INF174K01LS2=0.2000,INF879O01100=0.1000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.7000,INF174K01LS2=0.2500,INF879O01100=0.0500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.7000,INF174K01LS2=0.3000,INF879O01100=0.0000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.7500,INF174K01LS2=0.0000,INF879O01100=0.2500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.7500,INF174K01LS2=0.0500,INF879O01100=0.2000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.7500,INF174K01LS2=0.1000,INF879O01100=0.1500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.7500,INF174K01LS2=0.1500,INF879O01100=0.1000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.7500,INF174K01LS2=0.2000,INF879O01100=0.0500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.7500,INF174K01LS2=0.2500,INF879O01100=0.0000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.8000,INF174K01LS2=0.0000,INF879O01100=0.2000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.8000,INF174K01LS2=0.0500,INF879O01100=0.1500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.8000,INF174K01LS2=0.1000,INF879O01100=0.1000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.8000,INF174K01LS2=0.1500,INF879O01100=0.0500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.8000,INF174K01LS2=0.2000,INF879O01100=0.0000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.8500,INF174K01LS2=0.0000,INF879O01100=0.1500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.8500,INF174K01LS2=0.0500,INF879O01100=0.1000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.8500,INF174K01LS2=0.1000,INF879O01100=0.0500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.8500,INF174K01LS2=0.1500,INF879O01100=0.0000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.9000,INF174K01LS2=0.0000,INF879O01100=0.1000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.9000,INF174K01LS2=0.0500,INF879O01100=0.0500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.9000,INF174K01LS2=0.1000,INF879O01100=0.0000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.9500,INF174K01LS2=0.0000,INF879O01100=0.0500"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=0.9500,INF174K01LS2=0.0500,INF879O01100=0.0000"
"INF109K01BL4,INF174K01LS2,INF879O01100|INF109K01BL4=1.0000,INF174K01LS2=0.0000,INF879O01100=0.0000"
"INF109K01BL4,INF174K01LS2,INF966L01614|INF109K01BL4=0.0000,INF174K01LS2=0.0000,INF966L01614=1.0000"
"INF109K01BL4,INF174K01LS2,INF966L01614|INF109K01BL4=0.0000,INF174K01LS2=0.0500,INF966L01614=0.9500"
"INF109K01BL4,INF174K01LS2,INF966L01614|INF109K01BL4=0.0000,INF174K01LS2=0.1000,INF966L01614=0.9000"
"INF109K01BL4,INF174K01LS2,INF966L01614|INF109K01BL4=0.0000,INF174K01LS2=0.1500,INF966L01614=0.8500"
"INF109K01BL4,INF174K01LS2,INF966L01614|INF109K01BL4=0.0500,INF174K01LS2=0.0000,INF966L01614=0.9500"
"INF109K01BL4,INF174K01LS2,INF966L01614|INF109K01BL4=0.0500,INF174K01LS2=0.0500,INF966L01614=0.9000"
"INF109K01BL4,INF174K01LS2,INF966L01614|INF109K01BL4=0.0500,INF174K01LS2=0.1000,INF966L01614=0.8500"
"INF109K01BL4,INF174K01LS2,INF966L01614|INF109K01BL4=0.1000,INF174K01LS2=0.0000,INF966L01614=0.9000"
"INF109K01BL4,INF174K01LS2,INF966L01614|INF109K01BL4=0.1000,INF174K01LS2=0.0500,INF966L01614=0.8500"
"INF109K01BL4,INF174K01LS2,INF966L01614|INF109K01BL4=0.1500,INF174K01LS2=0.0000,INF966L01614=0.8500"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.0000,INF879O01027=1.0000"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.0500,INF879O01027=0.9500"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.1000,INF879O01027=0.9000"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.1500,INF879O01027=0.8500"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.2000,INF879O01027=0.8000"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.2500,INF879O01027=0.7500"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.3000,INF879O01027=0.7000"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.3500,INF879O01027=0.6500"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.4000,INF879O01027=0.6000"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.4500,INF879O01027=0.5500"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.5000,INF879O01027=0.5000"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.5500,INF879O01027=0.4500"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.6000,INF879O01027=0.4000"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.6500,INF879O01027=0.3500"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.7000,INF879O01027=0.3000"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.7500,INF879O01027=0.2500"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.8000,INF879O01027=0.2000"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.8500,INF879O01027=0.1500"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.9000,INF879O01027=0.1000"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.9500,INF879O01027=0.0500"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=1.0000,INF879O01027=0.0000"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0500,INF174K01LT0=0.0000,INF879O01027=0.9500"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0500,INF174K01LT0=0.0500,INF879O01027=0.9000"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0500,INF174K01LT0=0.1000,INF879O01027=0.8500"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0500,INF174K01LT0=0.1500,INF879O01027=0.8000"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.1000,INF174K01LT0=0.0000,INF879O01027=0.9000"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.1000,INF174K01LT0=0.0500,INF879O01027=0.8500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=0.0000,INF879O01100=1.0000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=0.0500,INF879O01100=0.9500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=0.1000,INF879O01100=0.9000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=0.1500,INF879O01100=0.8500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=0.2000,INF879O01100=0.8000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=0.2500,INF879O01100=0.7500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=0.3000,INF879O01100=0.7000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=0.3500,INF879O01100=0.6500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=0.4000,INF879O01100=0.6000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=0.4500,INF879O01100=0.5500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=0.5000,INF879O01100=0.5000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=0.5500,INF879O01100=0.4500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=0.6000,INF879O01100=0.4000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=0.6500,INF879O01100=0.3500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=0.7000,INF879O01100=0.3000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=0.7500,INF879O01100=0.2500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=0.8000,INF879O01100=0.2000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=0.8500,INF879O01100=0.1500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=0.9000,INF879O01100=0.1000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=0.9500,INF879O01100=0.0500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0000,INF174K01LT0=1.0000,INF879O01100=0.0000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0500,INF174K01LT0=0.0000,INF879O01100=0.9500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0500,INF174K01LT0=0.0500,INF879O01100=0.9000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0500,INF174K01LT0=0.1000,INF879O01100=0.8500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0500,INF174K01LT0=0.1500,INF879O01100=0.8000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0500,INF174K01LT0=0.2000,INF879O01100=0.7500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0500,INF174K01LT0=0.2500,INF879O01100=0.7000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0500,INF174K01LT0=0.3000,INF879O01100=0.6500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0500,INF174K01LT0=0.3500,INF879O01100=0.6000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0500,INF174K01LT0=0.4000,INF879O01100=0.5500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0500,INF174K01LT0=0.4500,INF879O01100=0.5000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0500,INF174K01LT0=0.5000,INF879O01100=0.4500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0500,INF174K01LT0=0.5500,INF879O01100=0.4000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0500,INF174K01LT0=0.6000,INF879O01100=0.3500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0500,INF174K01LT0=0.6500,INF879O01100=0.3000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0500,INF174K01LT0=0.7000,INF879O01100=0.2500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0500,INF174K01LT0=0.7500,INF879O01100=0.2000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0500,INF174K01LT0=0.8000,INF879O01100=0.1500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0500,INF174K01LT0=0.8500,INF879O01100=0.1000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0500,INF174K01LT0=0.9000,INF879O01100=0.0500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.0500,INF174K01LT0=0.9500,INF879O01100=0.0000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1000,INF174K01LT0=0.0000,INF879O01100=0.9000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1000,INF174K01LT0=0.0500,INF879O01100=0.8500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1000,INF174K01LT0=0.1000,INF879O01100=0.8000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1000,INF174K01LT0=0.1500,INF879O01100=0.7500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1000,INF174K01LT0=0.2000,INF879O01100=0.7000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1000,INF174K01LT0=0.2500,INF879O01100=0.6500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1000,INF174K01LT0=0.3000,INF879O01100=0.6000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1000,INF174K01LT0=0.3500,INF879O01100=0.5500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1000,INF174K01LT0=0.4000,INF879O01100=0.5000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1000,INF174K01LT0=0.4500,INF879O01100=0.4500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1000,INF174K01LT0=0.5000,INF879O01100=0.4000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1000,INF174K01LT0=0.5500,INF879O01100=0.3500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1000,INF174K01LT0=0.6000,INF879O01100=0.3000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1000,INF174K01LT0=0.6500,INF879O01100=0.2500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1000,INF174K01LT0=0.7000,INF879O01100=0.2000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1000,INF174K01LT0=0.7500,INF879O01100=0.1500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1000,INF174K01LT0=0.8000,INF879O01100=0.1000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1000,INF174K01LT0=0.8500,INF879O01100=0.0500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1000,INF174K01LT0=0.9000,INF879O01100=0.0000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1500,INF174K01LT0=0.0000,INF879O01100=0.8500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1500,INF174K01LT0=0.0500,INF879O01100=0.8000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1500,INF174K01LT0=0.1000,INF879O01100=0.7500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1500,INF174K01LT0=0.1500,INF879O01100=0.7000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1500,INF174K01LT0=0.2000,INF879O01100=0.6500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1500,INF174K01LT0=0.2500,INF879O01100=0.6000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1500,INF174K01LT0=0.3000,INF879O01100=0.5500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1500,INF174K01LT0=0.3500,INF879O01100=0.5000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1500,INF174K01LT0=0.4000,INF879O01100=0.4500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1500,INF174K01LT0=0.4500,INF879O01100=0.4000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1500,INF174K01LT0=0.5000,INF879O01100=0.3500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1500,INF174K01LT0=0.5500,INF879O01100=0.3000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1500,INF174K01LT0=0.6000,INF879O01100=0.2500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1500,INF174K01LT0=0.6500,INF879O01100=0.2000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1500,INF174K01LT0=0.7000,INF879O01100=0.1500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1500,INF174K01LT0=0.7500,INF879O01100=0.1000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1500,INF174K01LT0=0.8000,INF879O01100=0.0500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.1500,INF174K01LT0=0.8500,INF879O01100=0.0000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.2000,INF174K01LT0=0.0000,INF879O01100=0.8000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.2000,INF174K01LT0=0.0500,INF879O01100=0.7500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.2000,INF174K01LT0=0.1000,INF879O01100=0.7000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.2000,INF174K01LT0=0.1500,INF879O01100=0.6500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.2000,INF174K01LT0=0.2000,INF879O01100=0.6000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.2000,INF174K01LT0=0.2500,INF879O01100=0.5500"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.2000,INF174K01LT0=0.3000,INF879O01100=0.5000"
"INF109K01BL4,INF174K01LT0,INF879O01100|INF109K01BL4=0.2000,INF174K01LT0=0.3500,INF879O01100=0.4500"
